,simTag,e-e_avg_e-1,e-i_avg_e-1,i-i_avg_e-1,e-e_std_e-1,e-i_std_e-1,i-i_std_e-1,e-e_avg_e29,e-i_avg_e29,i-i_avg_e29,e-e_std_e29,e-i_std_e29,i-i_std_e29
110,sparse095_10class_137_t5,15.946006226203806,15.474526105263159,14.95977,2.0236519459824582,1.6854456554222306,0.8199470398141578,21.266104053751402,21.980098947368422,22.72506,3.8828661654433887,2.698397407050681,1.8930041548818637
111,sparse050_10class_138_t6,15.878000653061223,15.85532816,15.805072571428573,1.9158451870861606,1.8706581808975724,1.7813947769502505,23.58379885714286,25.27852028,25.11397248979592,2.629267991454749,2.3190373911691724,2.6301990166498896
112,sparse080_10class_138_t6,15.828785727848102,16.065421124999997,16.330104736842106,1.8778241508126952,1.9645720758803262,2.117978440059414,20.541038481012656,22.9158325625,24.00232,4.021218114193502,3.022795764934911,2.3675477525379227
113,sparse095_10class_138_t6,15.804487278835389,15.869612631578947,16.064459999999997,1.914765678921961,2.024425927352043,1.8151987550678848,21.141283673012317,20.68125136842105,20.14217,3.891839877826775,3.13043010403787,2.2039362581753585
114,sparse050_10class_139_t7,16.36730481632653,16.115601559999998,15.791233632653062,2.182289157293806,2.0372854796227173,1.8877393570810896,23.168915428571427,24.90935216,25.022581959183675,3.663702661152713,2.8907208871102266,3.0349300112847706
115,sparse080_10class_139_t7,15.956184588607595,16.2197808125,16.382713684210525,2.0609253403000727,2.177759780413829,2.321653827344479,20.368471360759493,23.672061000000003,24.65867157894736,4.438138498344408,2.638607802692359,2.3165709243877166
116,sparse095_10class_139_t7,16.102412183650618,15.718446947368422,15.461609999999999,2.223075965160677,2.00115724997369,1.4507420435418557,20.8926162150056,21.80336694736842,22.80347,3.831596995880597,2.68769797626189,1.6090920707343002
117,sparse050_10class_140_t0,17.97744057142857,17.574850759999997,17.16640130612245,2.042560658787745,1.846936589041276,1.616785069935284,22.254761224489798,24.541244279999997,24.913638204081632,4.112277454439617,2.7947862652595243,2.3510784174166734
118,sparse080_10class_140_t0,17.505327721518988,17.6188003125,17.49555157894737,1.936782874847136,1.9217521993791635,1.7508565132446436,21.054566202531646,22.703363750000005,23.532388947368418,4.070087382905227,3.184050485615521,2.310217168063358
119,sparse095_10class_140_t0,17.54574671892497,17.34370652631579,16.87834,1.9819840743693236,1.7719760051302633,1.248487124643262,21.017015341545353,22.82399557894737,24.474600000000002,3.5193003561073044,3.583221243553646,2.2994936768775864
120,sparse050_10class_141_t1,17.666106775510205,17.52884896,17.442784979591835,2.060679444552954,1.9274641863907402,1.7650493345070484,24.119290775510205,26.34715612,25.676928244897958,2.6390527821875884,2.2009202642618715,2.898524009880768
121,sparse080_10class_141_t1,17.625239208860762,17.1502090625,16.592392631578946,1.8840226375585083,1.6354477457103669,1.3451188949400175,20.968119335443035,22.494211187499996,23.433928947368422,3.9723560174267196,3.371710677147965,2.870557458762459
122,sparse095_10class_141_t1,17.510603650615902,17.23914357894737,17.223689999999998,1.9108109484647577,1.680016068850418,1.3148553543641215,21.337369742441208,23.42689410526316,25.214779999999998,3.679807855896017,3.3177886634334257,2.691634335046275
123,sparse050_10class_142_t2,17.316000653061224,17.207405159999997,17.139906204081633,1.7534584800399646,1.6221531855830922,1.4978786957705026,22.828769224489793,25.91669412,22.68554367346939,3.052308883028068,1.7510380719360232,3.3898354641539
124,sparse080_10class_142_t2,17.200248132911394,17.01453825,16.755434736842105,1.6430355152529692,1.5646419678873622,1.2844861162732024,21.321250443037975,22.134965187499997,22.636055263157896,4.164785090620735,3.563377485114276,3.228857574885172
125,sparse095_10class_142_t2,17.38488595744681,17.683925052631576,18.47395,1.7486125198574893,2.0237521966734926,2.532818997974391,21.375556909294513,22.19993052631579,22.96072,3.672900161289055,3.416900414058692,2.0241156398783153
126,sparse050_10class_143_t3,17.49090351020408,17.4218306,17.447704326530612,1.8562343197517959,1.9186928264158494,1.9907578995247153,24.08831306122449,25.72719476,25.18513518367347,2.626372441743907,2.198943696761821,2.8590748857905117
127,sparse080_10class_143_t3,17.418534113924053,18.003112062499998,18.532163157894736,1.9700609476984123,2.1618219959731295,2.4531989733301134,21.0618129113924,22.332069,23.249895789473683,4.071137531716381,3.484444425968651,3.201253405051011
128,sparse095_10class_143_t3,17.282937693169092,17.601776842105266,17.63173,1.658361631226811,1.7530630325745566,2.065176699001807,21.42995890257559,23.34554126315789,24.314560000000004,3.4351995126773796,3.7975711819589004,3.344878212192486
129,sparse050_10class_144_t4,17.240272979591836,17.324544,17.466801142857143,1.640977869093173,1.7518209428157892,1.8399548343698935,19.59473379591837,23.505620240000002,24.097110775510203,4.8285909078153875,2.894976535144688,2.7993617016563284
130,sparse080_10class_144_t4,17.306304367088607,17.354027249999998,17.48473684210526,1.641810497702766,1.7720815404898662,1.9381421438856896,20.927156993670884,22.948078125000002,23.788172105263158,4.064419725369958,2.8299803620778863,2.4821180915141574
131,sparse095_10class_144_t4,17.63926562150056,17.240572210526317,17.048270000000002,2.017063768764837,1.8668874403715985,1.2845946551733742,21.204226987681967,21.566989052631577,21.49765,3.6066764986149455,2.274693050766734,0.9191547413248763
132,sparse050_10class_145_t5,17.512493469387753,17.81437772,17.916107183673468,1.9955125662504543,2.1181454588851074,2.291252941804546,24.175299265306123,26.28198076,25.490801142857144,2.6204224859906033,2.025643332179143,2.7245402691258738
