,e-e_avg,e-i_avg,i-i_avg,e-e_std,e-i_std,i-i_std,simTag,epoch
795,34.6026366596831,32.23346083011052,28.32295897244445,11.123280949204133,10.781168280866051,10.481722607055064,SHD_095_232,199
796,30.87337505847341,28.85667815054211,24.491827595333334,11.198808607368031,11.178572028247824,6.788065865726955,SHD_095_233,-1
797,25.95092037706043,23.116926221626315,17.06412024488889,10.161640763828222,9.12094469728216,4.53968199206008,SHD_095_233,199
798,33.79669694469451,37.703776862736845,42.478637894222224,11.962445108667772,13.886013510497431,14.622497026514624,SHD_095_234,-1
799,36.398038097200775,38.534667272636845,41.410622516000004,12.09549907535496,14.393886811327135,17.34221957176166,SHD_095_234,199
800,30.356834094897245,29.065154753068423,28.78945176488889,9.858507471956392,8.415654663137362,6.261790024449154,SHD_095_235,199
801,29.823432906217764,28.67054048995263,28.24863999,11.517949657415251,11.881167773642234,11.368307411035895,SHD_095_236,-1
802,37.07207436093734,35.51424355384211,34.04041939555555,10.841403734892138,10.287203121165707,8.536907375461913,SHD_095_236,199
803,38.51898802163464,37.3325945514579,35.870396623111105,11.26069619152493,10.205779976634725,9.40624692426031,SHD_095_237,-1
804,31.10584830434642,30.425223123810525,29.911247944444444,10.654929523250585,10.55254072770111,10.181548275238768,SHD_095_237,199
805,26.038057455962687,27.747185806494738,29.920503305333337,10.024138199125964,11.236433653763411,11.416895415762609,SHD_095_238,-1
806,30.11274480704149,30.30892340938421,31.552541886222226,9.931870174031436,9.918952288734902,9.894573574336416,SHD_095_238,199
807,31.67323586573378,29.74904108695789,29.010987718888885,11.256254720277195,10.108863094757751,8.515245873539895,SHD_095_239,-1
808,34.26016423358451,35.6969844868,37.158074173555555,12.042745425510478,11.33634326718443,10.174118408184917,SHD_095_239,199
809,33.13140359931662,34.958616330368415,37.273140202444445,10.814332534673866,11.864873396550507,11.943586826925374,SHD_095_240,-1
810,33.35948524424784,34.253058683631586,34.955124384,11.285464115458515,11.208260769119656,11.096190416660498,SHD_095_240,199
811,30.92411063520189,29.873443481021052,26.908310055555553,11.550217987785455,11.146201414476792,10.11734557187452,SHD_095_241,-1
812,35.76356471681147,33.95987073793684,32.00575303177778,11.508739392695498,11.355022994878613,8.759595308325618,SHD_095_241,199
813,31.135509359592316,30.987622327005266,31.89674098533333,10.932537512866183,10.238576224149696,10.067218599135781,SHD_095_242,-1
